scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.630499621945359, 2, 5.066330942201793], meas_params:[-0.3092703505368506, -0.3342606491254775], noise_params:[0.0001, 0, 9.88689833432883], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.630499621945359, 5.066330942201793, -0.3092703505368506, -0.3342606491254775, 9.88689833432883], encoded_infidelity:0.00019234959953662312, benchmark_infidelity:0.00032944112291277694, diff:-0.00013709152337615382, ratio:0.5838663911655915
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.180497990174011, 2, 4.765551253134673], meas_params:[-0.3032469101910772, -0.3397720029365302], noise_params:[0.0002, 0, 13.298085180028401], init_params:[5, 5, -0.3, -0.3, 12], optimal_params:[4.180497990174011, 4.765551253134673, -0.3032469101910772, -0.3397720029365302, 13.298085180028401], encoded_infidelity:0.0007946230861800574, benchmark_infidelity:0.0008856554694921526, diff:-9.103238331209518e-05, ratio:0.8972146772104344
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.730637032269188, 2, 4.338391881353644], meas_params:[-0.2900886174640951, -0.3368705037742017], noise_params:[0.0004, 0, 15.365045913274482], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[3.730637032269188, 4.338391881353644, -0.2900886174640951, -0.3368705037742017, 15.365045913274482], encoded_infidelity:0.002654265653675325, benchmark_infidelity:0.002043959145587082, diff:0.000610306508088243, ratio:1.2985903653729567
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.292130148042749, 2, 4.041009341006248], meas_params:[-0.26687615504952233, -0.33423829859882037], noise_params:[0.0006, 0, 22.054779457560002], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[3.292130148042749, 4.041009341006248, -0.26687615504952233, -0.33423829859882037, 22.054779457560002], encoded_infidelity:0.006807878484885621, benchmark_infidelity:0.004389147512227631, diff:0.0024187309726579898, ratio:1.551070786734713
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 2.9055137426846027, 2, 3.775820746404964], meas_params:[-0.2288315806780431, -0.33829202728256536], noise_params:[0.0008, 0, 33.23758803693019], init_params:[4, 4, -0.2, -0.3, 15], optimal_params:[2.9055137426846027, 3.775820746404964, -0.2288315806780431, -0.33829202728256536, 33.23758803693019], encoded_infidelity:0.01472419202670816, benchmark_infidelity:0.008775626721976404, diff:0.005948565304731757, ratio:1.6778507670381004
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.9557945028332364, 2, 4.527022135407062], meas_params:[-0.29691453562327075, -0.33447704540422296], noise_params:[0.0003, 0, 13.554032738271417], init_params:[5, 5, -0.3, -0.3, 12], optimal_params:[3.9557945028332364, 4.527022135407062, -0.29691453562327075, -0.33447704540422296, 13.554032738271417], encoded_infidelity:0.0015170556106666178, benchmark_infidelity:0.0013533388483124575, diff:0.00016371676235416022, ratio:1.1209724841330806
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.851944090824176, 2, 5.1234755190795465], meas_params:[-0.3100255343120643, -0.33348321248542445], noise_params:[0.0001, 0.0001, 8.163090731491437], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.851944090824176, 5.1234755190795465, -0.3100255343120643, -0.33348321248542445, 8.163090731491437], encoded_infidelity:0.00018195207142479575, benchmark_infidelity:0.00040798799176933187, diff:-0.00022603592034453612, ratio:0.44597408525608706
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.409743829636712, 2, 4.7649641386076755], meas_params:[-0.30420003868589884, -0.33335866597343805], noise_params:[0.0002, 0.0001, 9.916442955798555], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.409743829636712, 4.7649641386076755, -0.30420003868589884, -0.33335866597343805, 9.916442955798555], encoded_infidelity:0.0006655768818020213, benchmark_infidelity:0.0008256741001385626, diff:-0.00016009721833654122, ratio:0.806101198633124
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.146643744936867, 2, 4.647329992404968], meas_params:[-0.3015200047535572, -0.3494460008845357], noise_params:[0.0003, 0.0001, 11.205653294269574], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.146643744936867, 4.647329992404968, -0.3015200047535572, -0.3494460008845357, 11.205653294269574], encoded_infidelity:0.0014089992190799983, benchmark_infidelity:0.001305549035981124, diff:0.00010345018309887433, ratio:1.0792388338145653
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.920384959431069, 2, 4.375926259815408], meas_params:[-0.2928564417693302, -0.335624683620369], noise_params:[0.0004, 0.0001, 12.295616806474811], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[3.920384959431069, 4.375926259815408, -0.2928564417693302, -0.335624683620369, 12.295616806474811], encoded_infidelity:0.002362761850331019, benchmark_infidelity:0.0018407568568795663, diff:0.0005220049934514526, ratio:1.2835817188459917
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.6855839933664507, 2, 4.223552976836637], meas_params:[-0.28388611740839015, -0.33515026792461267], noise_params:[0.0005, 0.0001, 14.869851798440113], init_params:[4, 4.5, -0.3, -0.3, 15], optimal_params:[3.6855839933664507, 4.223552976836637, -0.28388611740839015, -0.33515026792461267, 14.869851798440113], encoded_infidelity:0.003945877444795021, benchmark_infidelity:0.002718232620267713, diff:0.0012276448245273075, ratio:1.4516334677811347
